iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,vaccines,source_name
AUT,13/02/2021,368766,236728,136564,3352,12027,4.09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,14/02/2021,374034,241795,141922,5268,12011,4.15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,15/02/2021,402986,242625,143889,28952,14970,4.47,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,16/02/2021,418055,247553,151477,15069,15262,4.64,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,17/02/2021,444836,253854,160094,26781,16422,4.94,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,18/02/2021,466029,266191,174350,21193,17566,5.17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,19/02/2021,486888,277204,184366,20859,17353,5.41,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,20/02/2021,498476,288601,193620,11588,18530,5.53,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,21/02/2021,508066,298199,195539,9590,19147,5.64,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,22/02/2021,519338,305333,197941,11272,16622,5.77,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AZE,17/01/2021,0,0,,,,0,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,18/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,19/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,20/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,21/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,22/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,23/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,24/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,25/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,26/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,27/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,28/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,29/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,30/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,31/01/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,01/02/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,02/02/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,03/02/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,04/02/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,05/02/2021,,,,,3250,,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
AZE,06/02/2021,65000,65000,,,3250,0.64,"Oxford/AstraZeneca, Sputnik V",Government of Azerbaijan
BHR,23/12/2020,38965,38965,,,,2.29,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,24/12/2020,50071,50071,,11106,11106,2.94,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,25/12/2020,50543,50543,,472,5789,2.97,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,26/12/2020,51556,51556,,1013,4197,3.03,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,27/12/2020,53614,53614,,2058,3662,3.15,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,28/12/2020,55014,55014,,1400,3210,3.23,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,29/12/2020,56041,56041,,1027,2846,3.29,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,30/12/2020,57317,57317,,1276,2622,3.37,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,31/12/2020,58643,58643,,1326,1225,3.45,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,01/01/2021,59351,59351,,708,1258,3.49,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,02/01/2021,60097,60097,,746,1220,3.53,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,03/01/2021,60689,60689,,592,1011,3.57,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,04/01/2021,61612,61612,,923,943,3.62,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,05/01/2021,63893,63893,,2281,1122,3.75,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,06/01/2021,68472,68472,,4579,1594,4.02,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,07/01/2021,72239,72239,,3767,1942,4.25,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,08/01/2021,78291,78291,,6052,2706,4.6,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,09/01/2021,84157,84157,,5866,3437,4.95,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,10/01/2021,89250,89250,,5093,4080,5.25,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,11/01/2021,92598,92598,,3348,4427,5.44,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,12/01/2021,97776,97776,,5178,4840,5.75,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,13/01/2021,101363,101363,,3587,4699,5.96,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,14/01/2021,109566,109566,,8203,5332,6.44,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,15/01/2021,122819,122819,,13253,6361,7.22,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,16/01/2021,137159,137159,,14340,7572,8.06,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,17/01/2021,141563,141563,,4404,7473,8.32,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,18/01/2021,142831,142831,,1268,7176,8.39,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,19/01/2021,143596,143596,,765,6546,8.44,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,20/01/2021,144130,144130,,534,6110,8.47,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,21/01/2021,,,,,5457,,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,22/01/2021,,,,,4084,,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,23/01/2021,,,,,2555,,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,24/01/2021,,,,,2445,,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,25/01/2021,,,,,2784,,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,26/01/2021,165953,165953,,,3194,9.75,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,27/01/2021,167731,167731,,1778,3372,9.86,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,28/01/2021,169440,169440,,1709,3096,9.96,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,29/01/2021,169810,169810,,370,2629,9.98,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,30/01/2021,170433,170433,,623,2199,10.02,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,31/01/2021,171568,171568,,1135,1841,10.08,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,01/02/2021,172912,172912,,1344,1514,10.16,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,02/02/2021,174075,174075,,1163,1160,10.23,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,03/02/2021,175094,175094,,1019,1052,10.29,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,04/02/2021,177233,177233,,2139,1113,10.42,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,05/02/2021,179550,179550,,2317,1391,10.55,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,06/02/2021,182543,182543,,2993,1730,10.73,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,07/02/2021,191406,191406,,8863,2834,11.25,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,08/02/2021,201116,201116,,9710,4029,11.82,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,09/02/2021,212940,212940,,11824,5552,12.51,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,10/02/2021,219595,219595,,6655,6357,12.91,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,11/02/2021,224919,224919,,5324,6812,13.22,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,12/02/2021,232540,232540,,7621,7570,13.67,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,13/02/2021,242260,242260,,9720,8531,14.24,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
BHR,14/02/2021,248775,248775,,6515,8196,14.62,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
